studyType,location,studyID,publishedYear,yearModelled,species,taxa,spawnType,seasonModel,numSites,sampleSize,trackingApproach,modelRes,modelType,markerType,valuesAvail,excluReas
dispersal,Dampier Archipelago; Pilbara Offshore; Pilbara nearshore; Ningaloo; Rowley Shoals; Ashmore; Scott Reef,ca08,2008,1994-1999,na,na,na,Autumn,7,na,3D; Lagrangian; passive,10km; 5km; 1km,MECO,na,y,na
dispersal,Pilbara nearshore; Pilbara Offshore; Dampier Archipelago,ra14,2014,1996; 2001; 2002,na,na,na,Autumn,na,na,3D; Lagrangian; passive,1km,OILMAP; GCOM3D,na,n,no quant
dispersal,Abrolhos,th15,2015,2009-2012,na,na,na,Autumn,15,na,4D; Lagrangian; passive,na,HYCOM,na,n,no quant
dispersal,Kimberley Offshore; Kimberley Nearshore; Pilbara nearshore; Pilbara Offshore; Abrolhos; Shark Bay; Ningaloo; Exmouth Gulf; Dampier Archipelago; Scott Reef; Rowley Shoals; Ashmore; Dampier Peninsula; NW nearshore; NW offshore,KN15,2015,2009-2012,na,na,na,all,15,na,4D; Lagrangian; passive,9km,HYCOM; Conn4D,na,y,na
dispersal,Ningaloo; Exmouth Gulf; Pilbara Offshore; Pilbara nearshore; Dampier Archipelago,fe16,2016,2004-2009,Acropora millepora,Acropora,broadcast,Autumn,3430,na,3D; Lagrangian; passive,1km,ROMS,na,y,na
dispersal,Abrolhos; Dampier Archipelago; Ningaloo; Shark Bay; Pilbara nearshore; Pilbara Offshore,ma16,2016,2010;2011,na,na,na,Autumn,5,na,2D; Lagrangian; passive,2km; 4km,WASA/OzROMS,na,y,na
dispersal,Pilbara Offshore; Ningaloo; Shark Bay; Dampier Archipelago; Kimberley nearshore; Exmouth Gulf; Pilbara nearshore,ev19,2019,2004-2009,na,na,na,Autumn,15,na,3D; Lagrangian; passive,1km,ROMS,na,n,no quant
dispersal,Ningaloo; Exmouth Gulf; Pilbara Offshore; Pilbara nearshore; Dampier Archipelago,ba20,2020,2004-2009,na,na,na,Autumn,3430,na,3D; Lagrangian; passive,1km,ROMS,na,n,no quant
dispersal,Dampier Archipelago,th21,2021,2015; 2016; 2017,Acropora millepora,Acropora,broadcast,na,15,na,3D; Lagrangian; species specific,1km,ROMS,na,n,single region
dispersal,Rowley Shoals,gr22,2022,1980-2020,Acropora spp.,Acropora,broadcast,Autumn; Spring,na,na,2D; Lagrangian; species specific,500m,Delft3D,na,n,single region
