Site_A,Site_B,Fst,significant,f'st,significantLevels,,,
ev19K,ev19D1,0.048,y,,,,,
ev19K,ev19D2,0.047,y,,,,,
ev19K,ev19M1,0.055,y,,,,,
ev19K,ev19M2,0.051,y,,,,,
ev19K,ev19Mu1,0.052,y,,,,,
ev19K,ev19Mu2,0.054,y,,,,,
ev19K,ev19T1,0.057,y,,,,,
ev19K,ev19T2,0.069,y,,,,,
ev19K,ev19EG1,0.073,y,,,,,
ev19K,ev19EG2,0.067,y,,,,,
ev19K,ev19Bu1,0.04,y,,,,,
ev19K,ev19Bu2,0.064,y,,,,,
ev19K,ev19N1,0.035,y,,,,,
ev19K,ev19N2,0.066,y,,,,,
ev19K,ev19CB,0.042,y,,,,,
ev19K,ev19SB1,0.146,y,,,,,
ev19K,ev19SB2,0.155,y,,,,,
ev19D1,ev19D2,0.012,n,,,,,
ev19D1,ev19M1,0.019,n,,,,,
ev19D1,ev19M2,0.018,n,,,,,
ev19D1,ev19Mu1,0.018,n,,,,,
ev19D1,ev19Mu2,0.022,n,,,,,
ev19D1,ev19T1,0.018,n,,,,,
ev19D1,ev19T2,0.025,n,,,,,
ev19D1,ev19EG1,0.029,y,,,,,
ev19D1,ev19EG2,0.026,y,,,,,
ev19D1,ev19Bu1,0.029,y,,,,,
ev19D1,ev19Bu2,0.03,y,,,,,
ev19D1,ev19N1,0.024,y,,,,,
ev19D1,ev19N2,0.026,y,,,,,
ev19D1,ev19CB,0.039,y,,,,,
ev19D1,ev19SB1,0.102,y,,,,,
ev19D1,ev19SB2,0.098,y,,,,,
ev19D2,ev19M1,0.018,n,,,,,
ev19D2,ev19M2,0.02,n,,,,,
ev19D2,ev19Mu1,0.022,n,,,,,
ev19D2,ev19Mu2,0.029,y,,,,,
ev19D2,ev19T1,0.017,n,,,,,
ev19D2,ev19T2,0.03,y,,,,,
ev19D2,ev19EG1,0.032,y,,,,,
ev19D2,ev19EG2,0.027,y,,,,,
ev19D2,ev19Bu1,0.025,y,,,,,
ev19D2,ev19Bu2,0.03,y,,,,,
ev19D2,ev19N1,0.025,y,,,,,
ev19D2,ev19N2,0.03,y,,,,,
ev19D2,ev19CB,0.045,y,,,,,
ev19D2,ev19SB1,0.097,y,,,,,
ev19D2,ev19SB2,0.105,y,,,,,
ev19M1,ev19M2,0.015,n,,,,,
ev19M1,ev19Mu1,0.025,y,,,,,
ev19M1,ev19Mu2,0.028,y,,,,,
ev19M1,ev19T1,0.018,n,,,,,
ev19M1,ev19T2,0.031,y,,,,,
ev19M1,ev19EG1,0.037,y,,,,,
ev19M1,ev19EG2,0.028,y,,,,,
ev19M1,ev19Bu1,0.032,y,,,,,
ev19M1,ev19Bu2,0.028,y,,,,,
ev19M1,ev19N1,0.025,y,,,,,
ev19M1,ev19N2,0.027,y,,,,,
ev19M1,ev19CB,0.049,y,,,,,
ev19M1,ev19SB1,0.1,y,,,,,
ev19M1,ev19SB2,0.117,y,,,,,
ev19M2,ev19Mu1,0.018,n,,,,,
ev19M2,ev19Mu2,0.015,n,,,,,
ev19M2,ev19T1,0.017,n,,,,,
ev19M2,ev19T2,0.018,n,,,,,
ev19M2,ev19EG1,0.027,y,,,,,
ev19M2,ev19EG2,0.019,n,,,,,
ev19M2,ev19Bu1,0.031,y,,,,,
ev19M2,ev19Bu2,0.023,n,,,,,
ev19M2,ev19N1,0.021,n,,,,,
ev19M2,ev19N2,0.015,n,,,,,
ev19M2,ev19CB,0.038,y,,,,,
ev19M2,ev19SB1,0.099,y,,,,,
ev19M2,ev19SB2,0.1,y,,,,,
ev19T1,ev19Mu1,0.021,n,,,,,
ev19T1,ev19Mu2,0.02,n,,,,,
ev19T1,ev19T2,0.018,n,,,,,
ev19T1,ev19EG1,0.028,y,,,,,
ev19T1,ev19EG2,0.021,n,,,,,
ev19T1,ev19Bu1,0.032,y,,,,,
ev19T1,ev19Bu2,0.028,y,,,,,
ev19T1,ev19N1,0.022,y,,,,,
ev19T1,ev19N2,0.023,y,,,,,
ev19T1,ev19CB,0.052,y,,,,,
ev19T1,ev19SB1,0.096,y,,,,,
ev19T1,ev19SB2,0.101,y,,,,,
ev19T2,ev19Mu1,0.019,n,,,,,
ev19T2,ev19Mu2,0.022,n,,,,,
ev19T2,ev19EG1,0.027,y,,,,,
