region,reef,siteID,author,year,taxon,species,studyID,lat,lon,lat_spec,lon_spec,spawnMode,studyType,geneMarkers
Kimberley Offshore,,,,,,,,,,-13.6,123.2,,,
,Barrow?,,,,,,,,,,,,,
Kimberley Nearshore,,,,,,,,,,,,,,
Kimberley Nearshore,Montgomery,montgomery reef,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19K,-14.2207,125.3552,-15.9616,124.2701,broadcast,genetic,
Kimberley Nearshore,Camden,Camden Sound,Evans et al,2021,Turbinaria spp.,Turbinaria reniformis,ev21CS,-14.2207,125.3552,-15.962,124.27,broadcast,genetic,mtDNA
Kimberley Nearshore,NorthKimberley,North Kimberley,Evans et al,2021,Turbinaria spp.,Turbinaria reniformis,ev21NK,-14.2207,125.3552,-13.871,126.299,broadcast,genetic,mtDNA
Kimberley Nearshore,,,,,,,,-14.2207,125.3552,,,broadcast,genetic,
Kimberley Nearshore,Adele,Adele Island,Adam et al,2022,Acropora spp.,Acropora digitifera,ad21Ad,-14.2207,125.3552,-15.53,123.2,broadcast,genetic,
Kimberley Nearshore,Beagle,Beagle Reef,Adam et al,2022,Acropora spp.,Acropora digitifera,ad21BR,-14.2207,125.3552,-15.32,123.54,broadcast,genetic,
Kimberley Nearshore,Jackson,Jackson Island,Adam et al,2022,Acropora spp.,Acropora digitifera,ad21JI,-14.2207,125.3552,-15.71,124.47,broadcast,genetic,
Kimberley Nearshore,Haywood,Haywood Island,Adam et al,2022,Acropora spp.,Acropora digitifera,ad21HI,-14.2207,125.3552,-15.06,124.73,broadcast,genetic,
Kimberley Nearshore,Augustus,Augustus Island,Adam et al,2022,Acropora spp.,Acropora digitifera,ad21Au,-14.2207,125.3552,-15.47,124.55,broadcast,genetic,
Kimberley Nearshore,Okenia,Okenia Island,Adam et al,2022,Acropora spp.,Acropora digitifera,ad21OI,-14.2207,125.3552,-14.67,124.68,broadcast,genetic,
Dampier Peninsula ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NW nearshore,,,,,,,,,,,,,,
NW nearshore,BallaBalla,Balla Balla,Evans et al,2021,Turbinaria spp.,Turbinaria reniformis,ev21BB,-19.4542,120.4133,-20.638,117.662,broadcast,genetic,mtDNA; SNP
NW nearshore,,,,,,,,,,,,,,
NW offshore,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Dampier Archipelago,,,,,,,,,,,,,,
Dampier Archipelago,,dampier 1,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19D1,-20.3456,116.4719,-20.5402,116.5435,broadcast,genetic,
Dampier Archipelago,,dampier 2,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19D2,-20.3456,116.4719,-20.5367,116.7771,broadcast,genetic,
Dampier Archipelago,,dampier,Evans et al,2021,Acropora spp.,Turbinaria reniformis,ev21D,-20.3456,116.4719,-20.54,116.543,broadcast,genetic,mtDNA; SNP
Dampier Archipelago,,DCZ1,Underwood,2009,Acropora spp.,Acropora tenuis,un09DC1,-20.3456,116.4719,-20.4,116.55,broadcast,genetic,microsatellite
Dampier Archipelago,,DEN1,Underwood,2009,Acropora spp.,Acropora tenuis,un09DE1,-20.3456,116.4719,-20.48,116.65,broadcast,genetic,
Dampier Archipelago,,DEN2,Underwood,2009,Acropora spp.,Acropora tenuis,un09DE2,-20.3456,116.4719,-20.5,116.7,broadcast,genetic,
Dampier Archipelago,,DEN3,Underwood,2009,Acropora spp.,Acropora tenuis,un09DE3,-20.3456,116.4719,-20.52,116.75,broadcast,genetic,
Dampier Archipelago,,DWL1,Underwood,2009,Acropora spp.,Acropora tenuis,un09DW1,-20.3456,116.4719,-20.58,116.55,broadcast,genetic,
Dampier Archipelago,,DWL2,Underwood,2009,Acropora spp.,Acropora tenuis,un09DW2,-20.3456,116.4719,-20.6,116.58,broadcast,genetic,
Dampier Archipelago,,Dampier,Rosser et al,2016,Acropora spp.,Acropora tenuis,ros16D,-20.3456,116.4719,-20.65,116.7,broadcast,genetic,
Dampier Archipelago,,Dampier,Rosser et al,2020,Acropora spp.,Acropora tenuis,ro20Da,-20.3456,116.4719,-20.567,116.567,broadcast,genetic,microsatellite
Dampier Archipelago,,,,,,,,,,,,,,
Dampier Archipelago,,,,,,,,,,,,,,
Pilbara Offshore,,,,,,,,,,,,,,
Pilbara Offshore,Montebello,montebello 1,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19M1,-19.4711,115.0223,-20.407,115.5838,broadcast,genetic,
Pilbara Offshore,Montebello,montebello 2,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19M2,-19.4711,115.0223,-20.5058,115.5215,broadcast,genetic,
Pilbara Offshore,Muiron,muiron 1,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19Mu1,-19.4711,115.0223,-21.6454,114.3823,broadcast,genetic,
Pilbara Offshore,Muiron,muiron 2,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19Mu2,-19.4711,115.0223,-21.669,114.3508,broadcast,genetic,
Pilbara Offshore,Montebello,montebello,Evans et al,2021,Turbinaria spp.,Turbinaria reniformis,ev21M,-19.4711,115.0223,-20.505,115.522,broadcast,genetic,"mtDNA, SNP"
Pilbara Offshore,Montebello,Montebello,Rosser et al,2016,Acropora spp.,Acropora tenuis,ros16M,-19.4711,115.0223,-20.505,115.522,broadcast,genetic,
Pilbara Offshore,Montebello,Montebello,Rosser et al,2020,Acropora spp.,Acropora tenuis,ro20Mo,-19.4711,115.0223,-20.49,115.467,broadcast,genetic,microsatellite
Pilbara Offshore,Muiron,North Muiron,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26NM,-19.4711,115.0223,-21.64,114.387,broadcast,genetic,
Pilbara Offshore,Muiron,South Muiron,Duffy et al,2026,Acropora spp.,Acropora tenuis,du26SM,-19.4711,115.0223,-21.675,114.35,broadcast,genetic,
Pilbara nearshore,Thevendard,Thevendard 1,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19T1,-21.4716,115.1406,-21.4514,115.0326,broadcast,genetic,
Pilbara nearshore,Thevendard,Thevendard 2,Evans et al,2019,Cyphastrea spp.,Cyphastrea microphthalma,ev19T2,-21.4716,115.1406,-21.4448,114.9885,broadcast,genetic,
