Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution,geo_dist_km
ev19K,ev19D1,0.048,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Kimberley Nearshore,Microsatellite,Medium,962.526922603944
ev19K,ev19D2,0.047,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Kimberley Nearshore,Microsatellite,Medium,941.4763883712135
ev19K,ev19M1,0.055,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,ev19,FALSE,Kimberley Nearshore <-> Pilbara Offshore,Microsatellite,Medium,1043.1242909752632
ev19K,ev19M2,0.051,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,ev19,FALSE,Kimberley Nearshore <-> Pilbara Offshore,Microsatellite,Medium,1053.9159490427571
ev19K,ev19Mu1,0.052,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.6454,114.3823,Cyphastrea,ev19,ev19,FALSE,Kimberley Nearshore <-> Pilbara Offshore,Microsatellite,Medium,1218.4129210172694
ev19K,ev19Mu2,0.054,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.669,114.3508,Cyphastrea,ev19,ev19,FALSE,Kimberley Nearshore <-> Pilbara Offshore,Microsatellite,Medium,1222.5443438306781
ev19K,ev19T1,0.057,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4514,115.0326,Cyphastrea,ev19,ev19,FALSE,Kimberley Nearshore <-> Pilbara nearshore,Microsatellite,Medium,1149.322439215778
ev19K,ev19T2,0.069,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4448,114.9885,Cyphastrea,ev19,ev19,FALSE,Kimberley Nearshore <-> Pilbara nearshore,Microsatellite,Medium,1152.8878955205687
ev19K,ev19EG1,0.073,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.3008,114.1781,Cyphastrea,ev19,ev19,FALSE,Exmouth Gulf <-> Kimberley Nearshore,Microsatellite,Medium,1273.8319136481691
ev19K,ev19EG2,0.067,y,Kimberley Nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-15.9616,124.2701,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.2947,114.1497,Cyphastrea,ev19,ev19,FALSE,Exmouth Gulf <-> Kimberley Nearshore,Microsatellite,Medium,1275.9591942303657
