Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution
ev19D1,ev19D2,0.012,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,ev19,TRUE,Dampier Archipelago <-> Dampier Archipelago,Microsatellite,Medium
ev19M1,ev19M2,0.015,n,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,ev19,TRUE,Pilbara Offshore <-> Pilbara Offshore,Microsatellite,Medium
ev19M1,ev19Mu1,0.025,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.6454,114.3823,Cyphastrea,ev19,ev19,TRUE,Pilbara Offshore <-> Pilbara Offshore,Microsatellite,Medium
ev19M1,ev19Mu2,0.028,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.669,114.3508,Cyphastrea,ev19,ev19,TRUE,Pilbara Offshore <-> Pilbara Offshore,Microsatellite,Medium
ev19M2,ev19Mu1,0.018,n,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.6454,114.3823,Cyphastrea,ev19,ev19,TRUE,Pilbara Offshore <-> Pilbara Offshore,Microsatellite,Medium
ev19M2,ev19Mu2,0.015,n,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.669,114.3508,Cyphastrea,ev19,ev19,TRUE,Pilbara Offshore <-> Pilbara Offshore,Microsatellite,Medium
ev19T1,ev19T2,0.018,n,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4514,115.0326,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4448,114.9885,Cyphastrea,ev19,ev19,TRUE,Pilbara nearshore <-> Pilbara nearshore,Microsatellite,Medium
ev19EG1,ev19EG2,0.022,n,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.3008,114.1781,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.2947,114.1497,Cyphastrea,ev19,ev19,TRUE,Exmouth Gulf <-> Exmouth Gulf,Microsatellite,Medium
ev19EG1,ev19Bu1,0.037,y,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.3008,114.1781,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.8487,114.1695,Cyphastrea,ev19,ev19,TRUE,Exmouth Gulf <-> Exmouth Gulf,Microsatellite,Medium
ev19EG1,ev19Bu2,0.034,y,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.3008,114.1781,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.8815,114.1529,Cyphastrea,ev19,ev19,TRUE,Exmouth Gulf <-> Exmouth Gulf,Microsatellite,Medium
