region_pair,n_comparisons,n_studies,mean_fst,sd_fst,min_fst,max_fst,n_significant,studies_list,Region_A,Region_B,connectivity
Abrolhos <-> Ningaloo,1,1,0.36,NA,0.36,0.36,1,wh06,Abrolhos,Ningaloo,Low
Ashmore <-> Dampier Archipelago,2,2,0.34855,0.026233661582020888,0.33,0.3671,2,ro20; ros16,Ashmore,Dampier Archipelago,Low
Ashmore <-> Kimberley Nearshore,6,1,0.5003333333333333,0.3355989670226454,0.065,0.736,6,ad21,Ashmore,Kimberley Nearshore,Low
Ashmore <-> Ningaloo,5,3,0.13554,0.10963009623274077,0.052,0.2857,5,ad21; ro20; ros16,Ashmore,Ningaloo,Moderate
Ashmore <-> Pilbara Offshore,2,2,0.27535,0.035850313806157975,0.25,0.3007,2,ro20; ros16,Ashmore,Pilbara Offshore,Low
Ashmore <-> Rowley Shoals,5,3,0.12738,0.1505563748235192,0.019,0.3289,5,ad21; ro20; ros16,Ashmore,Rowley Shoals,Moderate
Ashmore <-> Scott Reef,2,2,0.1713,0.05840702012600883,0.13,0.2126,2,ro20; ros16,Ashmore,Scott Reef,Low
Ashmore <-> Timor Sea,4,1,0.1075,0.02872281323269014,0.09,0.15,4,ro20,Ashmore,Timor Sea,Moderate
Dampier Archipelago <-> Exmouth Gulf,9,2,0.027777777777777776,0.003073181485764296,0.022,0.032,9,ev19; ev21,Dampier Archipelago,Exmouth Gulf,High
Dampier Archipelago <-> Kimberley Nearshore,2,1,0.0475,7.071067811865482e-4,0.047,0.048,2,ev19,Dampier Archipelago,Kimberley Nearshore,High
Dampier Archipelago <-> NW nearshore,1,1,0.007,NA,0.007,0.007,1,ev21,Dampier Archipelago,NW nearshore,High
Dampier Archipelago <-> Ningaloo,50,4,0.057338,0.028840553152157968,0.01,0.1379,49,ev19; ro20; ros16; un09,Dampier Archipelago,Ningaloo,Moderate
Dampier Archipelago <-> Pilbara Offshore,11,4,0.026581818181818182,0.016332900427163462,0.011,0.0654,4,ev19; ev21; ro20; ros16,Dampier Archipelago,Pilbara Offshore,High
Dampier Archipelago <-> Pilbara nearshore,6,2,0.018,0.008438009243891596,0.009,0.03,3,ev19; ev21,Dampier Archipelago,Pilbara nearshore,High
Dampier Archipelago <-> Rowley Shoals,38,3,0.10185263157894738,0.031189800280480687,0.06,0.17,38,ro20; ros16; un09,Dampier Archipelago,Rowley Shoals,Moderate
Dampier Archipelago <-> Scott Reef,44,3,0.09546136363636364,0.029151458664761494,0.06,0.1803,44,ro20; ros16; un09,Dampier Archipelago,Scott Reef,Moderate
Dampier Archipelago <-> Shark Bay,5,2,0.0912,0.02104043725781382,0.054,0.105,5,ev19; ev21,Dampier Archipelago,Shark Bay,Moderate
Dampier Archipelago <-> Southwest coast,1,1,0.329,NA,0.329,0.329,1,ev21,Dampier Archipelago,Southwest coast,Low
Dampier Archipelago <-> Timor Sea,4,1,0.325,0.012909944487358068,0.31,0.34,4,ro20,Dampier Archipelago,Timor Sea,Low
Exmouth Gulf <-> Kimberley Nearshore,4,1,0.061,0.014491376746189439,0.04,0.073,4,ev19,Exmouth Gulf,Kimberley Nearshore,Moderate
Exmouth Gulf <-> NW nearshore,1,1,0.024,NA,0.024,0.024,1,ev21,Exmouth Gulf,NW nearshore,High
Exmouth Gulf <-> Ningaloo,32,2,0.01796875,0.015405244969835603,0.001,0.053,29,du26; ev19,Exmouth Gulf,Ningaloo,High
Exmouth Gulf <-> Pilbara Offshore,21,3,0.02361904761904762,0.011504243523483804,0,0.037,17,du26; ev19; ev21,Exmouth Gulf,Pilbara Offshore,High
Exmouth Gulf <-> Pilbara nearshore,10,2,0.0463,0.06861008996091204,0.004,0.24,7,ev19; ev21,Exmouth Gulf,Pilbara nearshore,High
Exmouth Gulf <-> Shark Bay,9,2,0.08811111111111111,0.026690093876026572,0.041,0.116,9,ev19; ev21,Exmouth Gulf,Shark Bay,Moderate
Exmouth Gulf <-> Southwest coast,1,1,0.322,NA,0.322,0.322,1,ev21,Exmouth Gulf,Southwest coast,Low
