Region,Ashmore,Kimberley Nearshore,Scott Reef,Rowley Shoals,NW nearshore,Dampier Archipelago,Pilbara nearshore,Pilbara Offshore,Exmouth Gulf,Ningaloo,Shark Bay,Abrolhos,Southwest coast
Ashmore,0,NA,0.1713,0.1274,NA,0.3486,NA,0.2754,NA,0.1355,NA,NA,NA
Kimberley Nearshore,NA,0,NA,0.5034,NA,NA,0.063,0.053,NA,0.445,0.1505,NA,NA
Scott Reef,0.1713,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rowley Shoals,0.1274,0.5034,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NW nearshore,NA,NA,NA,NA,0,NA,0.0125,0.005,NA,NA,0.057,NA,0.354
Dampier Archipelago,0.3486,NA,NA,NA,NA,0,0.018,0.0266,0.0278,0.0573,0.0912,NA,0.329
Pilbara nearshore,NA,0.063,NA,NA,0.0125,0.018,0,NA,NA,NA,0.0843,NA,0.328
Pilbara Offshore,0.2754,0.053,NA,NA,0.005,0.0266,NA,0,NA,NA,0.1012,NA,0.389
Exmouth Gulf,NA,NA,NA,NA,NA,0.0278,NA,NA,0,0.018,0.0881,NA,0.322
Ningaloo,0.1355,0.445,NA,NA,NA,0.0573,NA,NA,0.018,0,0.1207,NA,NA
Shark Bay,NA,0.1505,NA,NA,0.057,0.0912,0.0843,0.1012,0.0881,0.1207,0,NA,0.37
Abrolhos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Southwest coast,NA,NA,NA,NA,0.354,0.329,0.328,0.389,0.322,NA,0.37,NA,0
