Region A,Region B,Mean FST,SD FST,Min FST,Max FST,n (pairwise comparisons),n studies,Contributing studies,Connectivity class
Kimberley Nearshore,Shark Bay,0.1505,0.0064,0.146,0.155,2,1,ev19,Low
Ashmore,Scott Reef,0.1713,0.0584,0.13,0.2126,2,2,ro20; ros16,Low
Ningaloo,Ningaloo,0.2175,0.0206,0.19,0.24,4,1,ro20,Low
Rowley Shoals,Rowley Shoals,0.2175,0.0171,0.2,0.24,4,1,ro20,Low
Pilbara Offshore,Pilbara Offshore,0.2325,0.0236,0.2,0.25,4,1,ro20,Low
Ashmore,Pilbara Offshore,0.2754,0.0359,0.25,0.3007,2,2,ro20; ros16,Low
Exmouth Gulf,Southwest coast,0.322,NA,0.322,0.322,1,1,ev21,Low
Dampier Archipelago,Dampier Archipelago,0.325,0.0129,0.31,0.34,4,1,ro20,Low
Pilbara nearshore,Southwest coast,0.328,0.0085,0.322,0.334,2,1,ev21,Low
Dampier Archipelago,Southwest coast,0.329,NA,0.329,0.329,1,1,ev21,Low
Ashmore,Dampier Archipelago,0.3486,0.0262,0.33,0.3671,2,2,ro20; ros16,Low
NW nearshore,Southwest coast,0.354,NA,0.354,0.354,1,1,ev21,Low
Abrolhos,Abrolhos,0.36,NA,0.36,0.36,1,1,wh06,Low
Shark Bay,Southwest coast,0.37,NA,0.37,0.37,1,1,ev21,Low
Pilbara Offshore,Southwest coast,0.389,NA,0.389,0.389,1,1,ev21,Low
Kimberley Nearshore,Ningaloo,0.445,0.325,0.035,0.751,21,2,ad21; ev19,Low
Ashmore,Ashmore,0.5003,0.3356,0.065,0.736,6,1,ad21,Low
Kimberley Nearshore,Rowley Shoals,0.5034,0.3134,0.07,0.742,18,1,ad21,Low
Ningaloo,Ningaloo,0.0524,0.0186,0.02,0.1,51,3,ro20; ros16; un09,Moderate
Kimberley Nearshore,Pilbara Offshore,0.053,0.0018,0.051,0.055,4,1,ev19,Moderate
NW nearshore,Shark Bay,0.057,NA,0.057,0.057,1,1,ev21,Moderate
Dampier Archipelago,Ningaloo,0.0573,0.0288,0.01,0.1379,50,4,ev19; ro20; ros16; un09,Moderate
Ningaloo,Ningaloo,0.0584,0.0148,0.03,0.09,53,4,ad21; ro20; ros16; un09,Moderate
Exmouth Gulf,Exmouth Gulf,0.061,0.0145,0.04,0.073,4,1,ev19,Moderate
Kimberley Nearshore,Pilbara nearshore,0.063,0.0085,0.057,0.069,2,1,ev19,Moderate
Pilbara Offshore,Pilbara Offshore,0.0663,0.0231,0.05,0.0826,2,2,ro20; ros16,Moderate
Pilbara Offshore,Pilbara Offshore,0.0704,0.0289,0.05,0.0909,2,2,ro20; ros16,Moderate
Pilbara nearshore,Shark Bay,0.0843,0.0305,0.038,0.109,6,2,ev19; ev21,Moderate
Exmouth Gulf,Shark Bay,0.0881,0.0267,0.041,0.116,9,2,ev19; ev21,Moderate
Dampier Archipelago,Shark Bay,0.0912,0.021,0.054,0.105,5,2,ev19; ev21,Moderate
Dampier Archipelago,Dampier Archipelago,0.0955,0.0292,0.06,0.1803,44,3,ro20; ros16; un09,Moderate
Pilbara Offshore,Shark Bay,0.1012,0.0163,0.061,0.117,9,2,ev19; ev21,Moderate
Dampier Archipelago,Dampier Archipelago,0.1019,0.0312,0.06,0.17,38,3,ro20; ros16; un09,Moderate
Ashmore,Ashmore,0.1075,0.0287,0.09,0.15,4,1,ro20,Moderate
Ningaloo,Shark Bay,0.1207,0.0131,0.105,0.138,6,1,ev19,Moderate
Ashmore,Rowley Shoals,0.1274,0.1506,0.019,0.3289,5,3,ad21; ro20; ros16,Moderate
Ashmore,Ningaloo,0.1355,0.1096,0.052,0.2857,5,3,ad21; ro20; ros16,Moderate
Scott Reef,Scott Reef,0.14,0.0216,0.12,0.17,4,1,ro20,Moderate
NW nearshore,Pilbara Offshore,0.005,NA,0.005,0.005,1,1,ev21,High
Dampier Archipelago,Dampier Archipelago,0.007,NA,0.007,0.007,1,1,ev21,High
NW nearshore,Pilbara nearshore,0.0125,0.0035,0.01,0.015,2,1,ev21,High
Dampier Archipelago,Pilbara nearshore,0.018,0.0084,0.009,0.03,6,2,ev19; ev21,High
Exmouth Gulf,Ningaloo,0.018,0.0154,0.001,0.053,32,2,du26; ev19,High
Ningaloo,Ningaloo,0.0188,0.0158,0,0.0654,34,4,du26; ev19; ro20; ros16,High
Pilbara nearshore,Pilbara nearshore,0.0189,0.0057,0.009,0.031,10,2,ev19; ev21,High
Exmouth Gulf,Exmouth Gulf,0.0236,0.0115,0,0.037,21,3,du26; ev19; ev21,High
Exmouth Gulf,Exmouth Gulf,0.024,NA,0.024,0.024,1,1,ev21,High
Dampier Archipelago,Pilbara Offshore,0.0266,0.0163,0.011,0.0654,11,4,ev19; ev21; ro20; ros16,High
Dampier Archipelago,Exmouth Gulf,0.0278,0.0031,0.022,0.032,9,2,ev19; ev21,High
Rowley Shoals,Rowley Shoals,0.034,0.0199,0,0.09,44,3,ro20; ros16; un09,High
Ningaloo,Ningaloo,0.0348,0.0147,0.022,0.054,6,1,ev19,High
Exmouth Gulf,Exmouth Gulf,0.0463,0.0686,0.004,0.24,10,2,ev19; ev21,High
Dampier Archipelago,Dampier Archipelago,0.0475,7e-4,0.047,0.048,2,1,ev19,High
